atom,pp_file_name,nexclude,orbitals
Cd,Cd.pbe-dn-rrkjus_psl.0.3.1,5,sp
In,In.pbe-dn-rrkjus_psl.0.2.2,5,sp
Sn,Sn.pbe-dn-rrkjus_psl.0.2,5,sp
Sb,Sb.pbe-n-rrkjus_psl.0.3.1,0,sp
Te,Te.pbe-dn-rrkjus_psl.0.3.1,6,p
I,I.pbe-n-rrkjus_psl.0.2,1,p
Xe,Xe.pbe-n-rrkjus_psl.0.3.1,6,p
Cs,Cs.pbe-spn-rrkjus_psl.0.2.3,1,sp
Ba,Ba.pbe-spn-rrkjus_psl.0.2.3,4,s
La,La.pbe-spfn-rrkjus_psl.1.0.0,4,
Ce,Ce.pbe-spdn-rrkjus_psl.1.0.0,4,spd
Pr,Pr.pbe-spdn-rrkjus_psl.1.0.0,4,spd
Nd,Nd.pbe-spdn-rrkjus_psl.1.0.0,4,spd
Pm,Pm.pbe-spdn-rrkjus_psl.1.0.0,4,spd
Sm,Sm.pbe-spdn-rrkjus_psl.1.0.0,4,spd
Eu,Eu.pbe-spdn-rrkjus_psl.1.0.0,4,spd
Gd,Gd.pbe-spdn-rrkjus_psl.1.0.0,4,spd
Tb,Tb.pbe-spdn-rrkjus_psl.1.0.0,4,spd
Dy,Dy.pbe-spdn-rrkjus_psl.1.0.0,4,spd
Ho,Ho.pbe-spdn-rrkjus_psl.1.0.0,4,spd
Er,Er.pbe-spdn-rrkjus_psl.1.0.0,4,spd
Tm,Tm.pbe-spdn-rrkjus_psl.1.0.0,4,spd
Yb,Yb.pbe-spdn-rrkjus_psl.1.0.0,4,spd
Lu,Lu.pbe-spdn-rrkjus_psl.1.0.0,4,spd
Hf,Hf.pbe-spn-rrkjus_psl.0.2,4,spd
Ta,Ta.pbe-spn-rrkjus_psl.0.2,4,spd
W,W.pbe-spn-rrkjus_psl.0.2.3,4,spd
Re,Re.pbe-spn-rrkjus_psl.0.3.1,4,spd
Os,Os.pbe-n-rrkjus_psl.0.2.3,0,spd
Ir,Ir.pbe-n-rrkjus_psl.0.2.3,0,spd
Pt,Pt.pbe-n-rrkjus_psl.0.1,0,spd
Au,Au.pbe-dn-rrkjus_psl.0.3.0,0,spd
Hg,Hg.pbe-dn-rrkjus_psl.0.2.2,0,spd
Tl,Tl.pbe-dn-rrkjus_psl.0.2.3,5,sp
Pb,Pb.pbe-dn-rrkjus_psl.0.2.2,5,sp
Bi,Bi.pbe-dn-rrkjus_psl.0.2.2,6,p
Po,Po.pbe-dn-rrkjus_psl.0.3.1,6,p
At,At.pbe-dn-rrkjus_psl.0.3.1,6,p
Rn,Rn.pbe-dn-rrkjus_psl.0.3.1,6,p
Fr,,,
Ra,,,
Ac,,,
Th,,,
Pa,,,
U,,,
Np,,,
Pu,,,
Am,,,
Cm,,,
Bk,,,
Cf,,,
Es,,,
Fm,,,
Md,,,
